city,zip,NAME,total_pop_25plus,pct_bachelor,pct_master,pct_professional,pct_doctorate,pct_bachelor_or_higher,pct_no_bachelors
Campbell,95008,ZCTA5 95008,35011,34.88046613921339,16.90325897575048,2.439233383793665,4.6499671531804285,58.872925651937955,41.127074348062045
Cupertino,95014,ZCTA5 95014,42087,34.26473732981681,34.963290327179415,4.744933114738518,8.986147741582911,82.95910851331764,17.040891486682355
Los Altos,94022,ZCTA5 94022,14454,34.073612840736125,33.79687283796873,8.309118583091186,12.529403625294036,88.70900788709008,11.290992112909919
Los Altos,94024,ZCTA5 94024,16386,29.873062370316124,33.400463810569995,11.418283900891005,10.368607347735873,85.060417429513,14.939582570487005
Los Gatos,95030,ZCTA5 95030,9819,38.384764232610245,27.59955188919442,8.055810163967818,6.1717079132294534,80.21183419900193,19.788165800998073
Los Gatos,95032,ZCTA5 95032,19458,37.67088087162092,27.18676122931442,5.293452564497893,5.776544351937506,75.92763901737075,24.07236098262925
Los Gatos,95033,ZCTA5 95033,7525,38.23255813953488,22.843853820598007,4.026578073089701,5.222591362126246,70.32558139534883,29.674418604651166
Milpitas,95035,ZCTA5 95035,56986,32.69048538237462,21.794826799564806,1.4512336363317306,2.69188923595269,58.62843505422385,41.37156494577615
Mountain View,94040,ZCTA5 94040,25699,30.230748278143118,29.989493754620806,6.8913187283551895,10.836997548542744,77.94855830966185,22.05144169033815
Mountain View,94041,ZCTA5 94041,11325,30.604856512141282,27.408388520971304,4.512141280353201,10.09271523178808,72.61810154525386,27.381898454746135
Mountain View,94043,ZCTA5 94043,23772,28.924785461887936,28.638734645801783,3.7396937573616023,9.650008413259297,70.95322227831062,29.04677772168938
Palo Alto,94301,ZCTA5 94301,12827,29.78872690418648,30.17073360879395,9.020035861853902,14.274577064005614,83.25407343883995,16.745926561160047
Palo Alto,94303,ZCTA5 94303,32009,19.403917648161453,16.664063232215938,2.9460464244431255,9.366115779936893,48.38014308475741,51.61985691524259
Palo Alto,94304,ZCTA5 94304,3764,21.838469713071202,19.845908607863976,9.192348565356005,31.137088204038253,82.01381509032943,17.98618490967057
Palo Alto,94305,ZCTA5 94305,6879,32.38842855066144,29.393807239424337,7.588312254688182,21.54382904491932,90.91437708969326,9.08562291030674
Palo Alto,94306,ZCTA5 94306,19335,25.963279027670026,26.790793897077837,8.363072148952677,19.38970778381174,80.50685285751229,19.493147142487715
San Jose,95110,ZCTA5 95110,14181,24.51167054509555,11.74106198434525,1.5020097313306537,1.8404907975460123,39.59523305831747,60.40476694168253
San Jose,95111,ZCTA5 95111,39072,14.936527436527436,4.179463554463554,0.6833538083538083,0.3941441441441441,20.193488943488944,79.80651105651106
San Jose,95112,ZCTA5 95112,36759,23.983242199189313,10.72662477216464,1.5479202372208167,2.935335564079545,39.19312277265431,60.80687722734569
San Jose,95113,ZCTA5 95113,2158,38.18350324374421,22.984244670991657,1.5755329008341055,4.077849860982391,66.82113067655237,33.17886932344763
San Jose,95116,ZCTA5 95116,32152,14.91042547897487,4.926598656382184,0.5162975864642946,0.8926349838268226,21.245956705648172,78.75404329435183
San Jose,95117,ZCTA5 95117,18937,25.505623910862337,13.180546021017056,1.4838675608596927,4.272059988382532,44.442097481121614,55.557902518878386
San Jose,95118,ZCTA5 95118,21690,30.488704472106964,16.90640848317197,2.1300138312586445,3.5223605348086675,53.047487321346246,46.952512678653754
San Jose,95119,ZCTA5 95119,7414,37.79336390612355,16.266522794712706,1.7939034259509035,2.4683032101429725,58.32209333693014,41.67790666306986
San Jose,95120,ZCTA5 95120,26605,36.470588235294116,26.806991167073857,4.360082691223454,6.780680323247509,74.41834241683894,25.58165758316106
San Jose,95121,ZCTA5 95121,26403,24.008635382342916,7.775631557020035,0.7764269211831989,1.4127182517138204,33.97341211225997,66.02658788774002
San Jose,95122,ZCTA5 95122,34274,13.940596370426562,2.325377837427788,1.1495594328062086,0.46682616560658224,17.882359806267143,82.11764019373285
San Jose,95123,ZCTA5 95123,49023,27.423862268731003,13.06325602268323,1.6584052383575056,2.6599759296656673,44.80549945943741,55.19450054056259
San Jose,95124,ZCTA5 95124,34868,30.515085465182977,21.66743145577607,4.049558334289319,4.691981186187909,60.92405644143627,39.07594355856373
San Jose,95125,ZCTA5 95125,38984,31.70788015596142,16.799199671660165,4.3505027703673305,3.3577878103837473,56.215370408372664,43.784629591627336
San Jose,95126,ZCTA5 95126,27927,30.465141261145128,18.204604862677694,3.004261109320729,3.0830379202921905,54.75704515343575,45.24295484656425
San Jose,95127,ZCTA5 95127,42633,18.295686440081628,6.234606994581663,1.060211573194474,0.9734243426453687,26.56392935050313,73.43607064949687
San Jose,95128,ZCTA5 95128,25746,31.20873145342966,14.27794608871281,2.303270410937621,3.9773168647556902,51.76726481783578,48.23273518216422
San Jose,95129,ZCTA5 95129,27898,28.880206466413362,32.37508065094272,2.527062871890458,7.233493440389991,71.01584342963653,28.984156570363467
San Jose,95130,ZCTA5 95130,9519,30.150225864061355,19.413803971005358,2.2166193927933606,8.362222922575901,60.14287215043596,39.85712784956404
San Jose,95131,ZCTA5 95131,22535,29.860217439538495,21.20257377412913,2.0323940536942535,3.8695362769025956,56.96472154426447,43.03527845573553
San Jose,95132,ZCTA5 95132,29043,31.728815893674895,13.008298040836003,2.017697896222842,3.363977550528527,50.11878938126226,49.88121061873774
San Jose,95133,ZCTA5 95133,21022,26.19636571211112,13.55246884216535,1.6078394063362194,2.987346589287413,44.3440205499001,55.6559794500999
San Jose,95134,ZCTA5 95134,23947,26.470956696037085,42.45625756879776,1.5743099344385516,6.789994571345054,77.29151877061845,22.708481229381547
San Jose,95135,ZCTA5 95135,15530,31.07533805537669,25.556986477784932,3.56084996780425,5.022537025112685,65.21571152607855,34.78428847392145
San Jose,95136,ZCTA5 95136,33270,26.53441538923956,14.839194469492034,2.5578599338743615,2.5458370904718968,46.477306883077844,53.522693116922156
San Jose,95138,ZCTA5 95138,12637,29.207881617472502,17.733639313128116,3.5926248318430005,2.8962570230276174,53.43040278547123,46.56959721452877
San Jose,95139,ZCTA5 95139,4884,31.818181818181817,12.674037674037674,1.0851760851760852,1.4127764127764129,46.990171990171994,53.009828009828006
San Jose,95140,ZCTA5 95140,41,39.02439024390244,36.58536585365854,0.0,0.0,75.60975609756098,24.390243902439025
San Jose,95148,ZCTA5 95148,31700,26.892744479495267,10.072555205047319,1.3028391167192428,1.555205047318612,39.823343848580436,60.176656151419564
Santa Clara,95050,ZCTA5 95050,28158,28.86213509482208,19.685346970665528,2.0527026067192273,3.5265288727892607,54.12671354499609,45.87328645500391
Santa Clara,95051,ZCTA5 95051,46050,32.165038002171556,28.753528773072745,3.001085776330076,6.73615635179153,70.65580890336591,29.34419109663409
Santa Clara,95053,ZCTA5 95053,131,61.832061068702295,38.16793893129771,0.0,0.0,100.0,0.0
Santa Clara,95054,ZCTA5 95054,18691,32.908886629928844,28.74110534481836,1.8083569632443421,5.023808249959874,68.48215718795142,31.517842812048585
Saratoga,95070,ZCTA5 95070,23816,32.927443735303996,33.54047699025865,5.94138394356735,8.41871011084985,80.82801477997985,19.171985220020147
Sunnyvale,94085,ZCTA5 94085,17350,22.685878962536023,31.86743515850144,1.100864553314121,6.582132564841499,62.236311239193085,37.763688760806915
Sunnyvale,94086,ZCTA5 94086,36482,30.85083054657091,30.453374266761692,2.2586481004330903,6.644372567293459,70.20722548105915,29.792774518940845
Sunnyvale,94087,ZCTA5 94087,40603,34.357067211782386,31.344974509272717,3.3224145999064105,7.60288648622023,76.62734280718173,23.372657192818266
Sunnyvale,94089,ZCTA5 94089,17978,27.094226276560242,23.10601846701524,1.1625319835354322,5.451106908443654,56.81388363555456,43.18611636444544
